GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_030E
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",3908,363,272
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",5433,401,265
1400000US36005022200,"Census Tract 222, Bronx County, New York",3064,256,240
1400000US36005022300,"Census Tract 223, Bronx County, New York",5168,576,584
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",2470,121,358
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",2920,213,380
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",4384,121,511
1400000US36005022500,"Census Tract 225, Bronx County, New York",8937,934,641
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",4748,260,462
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",1494,70,253
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",1858,237,169
1400000US36005022800,"Census Tract 228, Bronx County, New York",6238,421,830
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",5196,351,374
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",3416,400,271
1400000US36005023000,"Census Tract 230, Bronx County, New York",2821,267,252
1400000US36005023100,"Census Tract 231, Bronx County, New York",1569,71,210
1400000US36005023200,"Census Tract 232, Bronx County, New York",2382,168,361
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",3855,88,411
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",3581,347,228
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",3222,332,379
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",4346,521,681
1400000US36005023600,"Census Tract 236, Bronx County, New York",1609,128,258
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",1395,94,79
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",5662,500,257
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",3838,348,224
1400000US36005023800,"Census Tract 238, Bronx County, New York",2281,109,211
1400000US36005023900,"Census Tract 239, Bronx County, New York",7947,1082,474
1400000US36005024000,"Census Tract 240, Bronx County, New York",3932,280,354
1400000US36005024100,"Census Tract 241, Bronx County, New York",6546,509,590
1400000US36005024300,"Census Tract 243, Bronx County, New York",5467,413,357
1400000US36005024400,"Census Tract 244, Bronx County, New York",2015,91,286
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",4804,446,598
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",3632,312,348
1400000US36005024600,"Census Tract 246, Bronx County, New York",2095,103,387
1400000US36005024700,"Census Tract 247, Bronx County, New York",1906,179,279
1400000US36005024800,"Census Tract 248, Bronx County, New York",3178,54,742
1400000US36005024900,"Census Tract 249, Bronx County, New York",0,0,0
1400000US36005025000,"Census Tract 250, Bronx County, New York",2604,220,554
1400000US36005025100,"Census Tract 251, Bronx County, New York",6430,173,627
1400000US36005025200,"Census Tract 252, Bronx County, New York",2677,192,352
1400000US36005025300,"Census Tract 253, Bronx County, New York",6155,640,341
1400000US36005025400,"Census Tract 254, Bronx County, New York",1912,123,371
1400000US36005025500,"Census Tract 255, Bronx County, New York",7726,486,1034
1400000US36005025600,"Census Tract 256, Bronx County, New York",1547,96,325
1400000US36005025700,"Census Tract 257, Bronx County, New York",1732,184,156
1400000US36005026100,"Census Tract 261, Bronx County, New York",1994,92,448
1400000US36005026300,"Census Tract 263, Bronx County, New York",6314,389,1664
1400000US36005026400,"Census Tract 264, Bronx County, New York",5411,401,746
1400000US36005026500,"Census Tract 265, Bronx County, New York",7426,544,696
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",3108,176,520
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",5229,171,1046
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",3986,457,256
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",7862,854,1106
1400000US36005026900,"Census Tract 269, Bronx County, New York",3652,153,293
1400000US36005027300,"Census Tract 273, Bronx County, New York",7312,616,1270
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",5042,376,768
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",3442,174,788
1400000US36005027600,"Census Tract 276, Bronx County, New York",261,5,15
