complex_id,complex_nm,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwkdy19,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,avwken19,srv_notes
bk031,Avenue M,Q ,1,36047,40.617618,-73.959399,1751074,1851760,1661369,1351418,1345774,1608901,1730576,1731955,1733583,1776762,1828941,1808189,1691285,5858,6188,5713,4628,4632,5544,5836,5903,5869,6052,6094,6001,5678,4725,4911,3706,3163,3032,4030,4429,4111,4345,4246,5091,5064,4402,x
bk032,Avenue N,F ,1,36047,40.61514,-73.974197,1051230,1067437,999622,1016781,1049752,1012534,1044429,1050916,1027713,941921,643200,612201,877383,3433,3493,3282,3377,3458,3390,3411,3419,3410,3187,2217,2087,2961,3233,3180,2962,2841,3124,2983,3202,3282,2888,2320,1417,1447,2255,x
bk033,Avenue P,F ,1,36047,40.608944,-73.973022,892585,900117,830813,829508,836317,825620,861095,864424,858733,809816,534727,509036,739804,2828,2859,2648,2667,2696,2705,2757,2767,2804,2688,1821,1710,2463,3150,3080,2835,2729,2768,2703,2899,2909,2628,2244,1290,1318,2060,x
bk034,Avenue U,F ,1,36047,40.596063,-73.973357,676788,678084,673170,723222,696998,707595,717486,699414,716715,772331,373322,310821,547776,2147,2153,2142,2331,2229,2302,2296,2215,2439,2578,1276,1042,1838,2392,2334,2336,2377,2407,2408,2429,2483,1715,2080,875,820,1463,x
bk035,Avenue U,N ,1,36047,40.597473,-73.979137,984530,1116116,1255861,1263986,1244178,1297870,1211062,1251276,1253349,456533,734714,830278,1019104,3197,3537,3871,3872,3804,3980,3738,3857,3894,1399,2285,2627,3156,3100,3858,4940,5125,5132,5533,4745,4915,4767,1795,2803,2954,3931,x
bk036,Avenue U,Q ,1,36047,40.5993,-73.955929,2271140,2312053,1829675,1325173,2136714,2071874,2176073,2175035,2231577,2332985,2360833,2329614,2301941,7010,7173,5875,4101,6816,6694,6821,6922,6975,7384,7391,7323,7262,8915,8740,6061,5024,7398,7233,8015,7500,8322,8188,8804,8492,8248,x
bk037,Avenue X,F ,1,36047,40.58962,-73.97425,886355,877399,833930,843207,854737,860597,908520,892170,589962,727220,738274,775436,758700,2896,2857,2736,2789,2810,2877,2972,2859,1928,2424,2508,2662,2530,2736,2698,2507,2442,2598,2589,2783,2999,1817,1988,1822,1759,2112,x
bk038,Bay 50 St,D ,1,36047,40.588841,-73.983765,873104,871867,941332,969133,920243,777836,847843,884302,872953,972937,900508,826074,821873,2856,2820,3170,3260,3117,2632,2793,2875,2872,3176,2926,2674,2662,2688,2767,2451,2546,2333,2168,2492,2784,2575,2960,2854,2649,2619,
bk039,Bay Pkwy,D ,1,36047,40.601875,-73.993728,2145203,2241011,2088844,2107643,2018400,2038864,2298420,2362284,2368617,2578524,2502105,2435949,2446673,6674,6979,6673,6753,6594,6726,7111,7322,7501,8069,7837,7719,7723,8190,8373,7071,7037,6154,6444,8927,9097,8350,9471,9306,8575,8742,
bk040,Bay Pkwy,F ,1,36047,40.620769,-73.975264,448356,441249,417087,427277,434564,464906,487308,478322,460536,406793,214153,188225,362802,1427,1414,1336,1386,1398,1526,1575,1516,1491,1329,729,623,1193,1565,1462,1405,1369,1465,1518,1578,1690,1476,1232,522,536,1090,x
