GEO_ID,NAME,S1810_C01_048E,S1810_C01_049E,S1810_C01_052E
Geography,Geographic Area Name,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",984,3327,312
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",1031,2366,253
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",987,1975,195
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",1169,2969,747
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",552,2632,1013
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",699,2377,265
1400000US36005018400,"Census Tract 184, Bronx County, New York",593,2498,557
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",480,1910,71
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",983,4245,365
1400000US36005018900,"Census Tract 189, Bronx County, New York",2245,4705,426
1400000US36005019300,"Census Tract 193, Bronx County, New York",1215,3975,656
1400000US36005019400,"Census Tract 194, Bronx County, New York",474,1390,290
1400000US36005019500,"Census Tract 195, Bronx County, New York",1373,4930,593
1400000US36005019700,"Census Tract 197, Bronx County, New York",1443,4589,559
1400000US36005019900,"Census Tract 199, Bronx County, New York",1848,4819,837
1400000US36005020000,"Census Tract 200, Bronx County, New York",1018,2901,433
1400000US36005020100,"Census Tract 201, Bronx County, New York",766,2380,425
1400000US36005020200,"Census Tract 202, Bronx County, New York",338,1511,358
1400000US36005020400,"Census Tract 204, Bronx County, New York",463,2088,305
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",1389,4045,844
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",179,1605,380
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",329,1519,374
1400000US36005020900,"Census Tract 209, Bronx County, New York",923,2943,408
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",1119,5519,1278
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",1266,5029,1043
1400000US36005021100,"Census Tract 211, Bronx County, New York",1487,3199,496
1400000US36005021200,"Census Tract 212, Bronx County, New York",594,3346,768
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",216,760,115
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",921,2654,1349
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",782,2970,350
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",1339,4108,417
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",913,2700,386
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",1011,3934,599
1400000US36005021700,"Census Tract 217, Bronx County, New York",804,3610,271
1400000US36005021800,"Census Tract 218, Bronx County, New York",823,4307,703
1400000US36005021900,"Census Tract 219, Bronx County, New York",137,582,104
1400000US36005022000,"Census Tract 220, Bronx County, New York",372,1337,121
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",1035,2238,272
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",1309,3458,265
1400000US36005022200,"Census Tract 222, Bronx County, New York",485,2083,240
1400000US36005022300,"Census Tract 223, Bronx County, New York",718,3290,584
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",446,1545,358
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",323,2004,380
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",683,3069,511
1400000US36005022500,"Census Tract 225, Bronx County, New York",1900,5462,641
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",959,3055,462
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",214,957,253
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",454,998,169
1400000US36005022800,"Census Tract 228, Bronx County, New York",1126,3861,830
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",964,3480,374
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",700,2045,271
1400000US36005023000,"Census Tract 230, Bronx County, New York",536,1766,252
1400000US36005023100,"Census Tract 231, Bronx County, New York",358,901,129
1400000US36005023200,"Census Tract 232, Bronx County, New York",470,1383,361
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",743,2613,411
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",856,2150,228
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",507,2004,379
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",768,2376,681
1400000US36005023600,"Census Tract 236, Bronx County, New York",333,880,258
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",343,879,79
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",1233,3672,257
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",776,2490,224
1400000US36005023800,"Census Tract 238, Bronx County, New York",401,1560,211
1400000US36005023900,"Census Tract 239, Bronx County, New York",1343,5048,474
1400000US36005024000,"Census Tract 240, Bronx County, New York",600,2698,354
1400000US36005024100,"Census Tract 241, Bronx County, New York",1238,4084,590
1400000US36005024300,"Census Tract 243, Bronx County, New York",1234,3463,357
1400000US36005024400,"Census Tract 244, Bronx County, New York",213,1425,286
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",972,2788,598
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",660,2301,348
1400000US36005024600,"Census Tract 246, Bronx County, New York",339,1262,387
1400000US36005024700,"Census Tract 247, Bronx County, New York",208,1240,279
1400000US36005024800,"Census Tract 248, Bronx County, New York",349,1992,472
1400000US36005024900,"Census Tract 249, Bronx County, New York",0,0,0
1400000US36005025000,"Census Tract 250, Bronx County, New York",337,1493,554
1400000US36005025100,"Census Tract 251, Bronx County, New York",1148,4482,627
1400000US36005025200,"Census Tract 252, Bronx County, New York",409,1724,352
1400000US36005025300,"Census Tract 253, Bronx County, New York",1251,3922,341
1400000US36005025400,"Census Tract 254, Bronx County, New York",266,1152,371
1400000US36005025500,"Census Tract 255, Bronx County, New York",1459,4731,1034
1400000US36005025600,"Census Tract 256, Bronx County, New York",207,899,274
1400000US36005025700,"Census Tract 257, Bronx County, New York",150,1242,156
1400000US36005026100,"Census Tract 261, Bronx County, New York",276,1167,404
1400000US36005026300,"Census Tract 263, Bronx County, New York",979,3189,1191
1400000US36005026400,"Census Tract 264, Bronx County, New York",928,3336,746
1400000US36005026500,"Census Tract 265, Bronx County, New York",1364,4766,672
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",532,1880,520
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",928,3084,1046
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",953,2320,256
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",1232,4641,1106
1400000US36005026900,"Census Tract 269, Bronx County, New York",451,2755,293
1400000US36005027300,"Census Tract 273, Bronx County, New York",497,4869,1113
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",968,2930,768
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",406,2051,597
1400000US36005027600,"Census Tract 276, Bronx County, New York",5,236,15
1400000US36005027700,"Census Tract 277, Bronx County, New York",720,2676,701
1400000US36005027900,"Census Tract 279, Bronx County, New York",1488,4709,954
1400000US36005028100,"Census Tract 281, Bronx County, New York",323,2247,812
1400000US36005028300,"Census Tract 283, Bronx County, New York",420,1382,203
1400000US36005028400,"Census Tract 284, Bronx County, New York",0,111,8
1400000US36005028500,"Census Tract 285, Bronx County, New York",227,2651,432
1400000US36005028600,"Census Tract 286, Bronx County, New York",58,511,307
1400000US36005028700,"Census Tract 287, Bronx County, New York",494,2173,397
1400000US36005028800,"Census Tract 288, Bronx County, New York",381,2059,520
1400000US36005028900,"Census Tract 289, Bronx County, New York",888,2659,627
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",115,701,692
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",872,2657,1475
1400000US36005029500,"Census Tract 295, Bronx County, New York",608,2718,884
1400000US36005029600,"Census Tract 296, Bronx County, New York",180,1256,259
1400000US36005029700,"Census Tract 297, Bronx County, New York",691,1757,1093
1400000US36005030000,"Census Tract 300, Bronx County, New York",848,4291,972
1400000US36005030100,"Census Tract 301, Bronx County, New York",88,643,300
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",183,2674,745
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",518,2976,1304
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",863,2726,1554
1400000US36005030900,"Census Tract 309, Bronx County, New York",336,1783,1049
1400000US36005031000,"Census Tract 310, Bronx County, New York",365,2319,877
1400000US36005031200,"Census Tract 312, Bronx County, New York",311,834,269
1400000US36005031400,"Census Tract 314, Bronx County, New York",188,1203,407
1400000US36005031600,"Census Tract 316, Bronx County, New York",238,1217,432
1400000US36005031800,"Census Tract 318, Bronx County, New York",182,1302,455
1400000US36005031900,"Census Tract 319, Bronx County, New York",15,109,17
1400000US36005032300,"Census Tract 323, Bronx County, New York",357,2137,1709
1400000US36005032400,"Census Tract 324, Bronx County, New York",454,2254,431
1400000US36005032600,"Census Tract 326, Bronx County, New York",440,2392,466
1400000US36005032800,"Census Tract 328, Bronx County, New York",787,2257,550
1400000US36005033000,"Census Tract 330, Bronx County, New York",1088,3327,659
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",828,3223,822
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",468,2034,744
1400000US36005033400,"Census Tract 334, Bronx County, New York",0,9,4
1400000US36005033500,"Census Tract 335, Bronx County, New York",180,1258,331
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",559,3445,474
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",301,993,189
1400000US36005033700,"Census Tract 337, Bronx County, New York",422,1294,763
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",490,1338,225
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",324,1157,43
1400000US36005034000,"Census Tract 340, Bronx County, New York",1194,3354,524
1400000US36005034200,"Census Tract 342, Bronx County, New York",209,1032,277
1400000US36005034300,"Census Tract 343, Bronx County, New York",167,998,82
1400000US36005034400,"Census Tract 344, Bronx County, New York",351,1298,269
1400000US36005034500,"Census Tract 345, Bronx County, New York",522,1846,668
1400000US36005034800,"Census Tract 348, Bronx County, New York",1223,3473,841
1400000US36005035000,"Census Tract 350, Bronx County, New York",301,1456,193
1400000US36005035100,"Census Tract 351, Bronx County, New York",260,2673,533
1400000US36005035600,"Census Tract 356, Bronx County, New York",140,1591,286
1400000US36005035800,"Census Tract 358, Bronx County, New York",1074,5635,1533
1400000US36005035900,"Census Tract 359, Bronx County, New York",648,1101,279
1400000US36005036000,"Census Tract 360, Bronx County, New York",482,1565,768
1400000US36005036100,"Census Tract 361, Bronx County, New York",1258,3132,960
1400000US36005036300,"Census Tract 363, Bronx County, New York",1530,4137,701
1400000US36005036400,"Census Tract 364, Bronx County, New York",382,1724,414
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",923,2379,416
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",602,1621,153
1400000US36005036700,"Census Tract 367, Bronx County, New York",481,1372,139
1400000US36005036800,"Census Tract 368, Bronx County, New York",364,1368,299
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",470,1172,216
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",433,1220,209
1400000US36005037000,"Census Tract 370, Bronx County, New York",321,1594,327
1400000US36005037100,"Census Tract 371, Bronx County, New York",624,2571,760
1400000US36005037200,"Census Tract 372, Bronx County, New York",392,1373,295
1400000US36005037300,"Census Tract 373, Bronx County, New York",1641,3469,509
1400000US36005037400,"Census Tract 374, Bronx County, New York",599,2428,421
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",695,1954,211
1400000US36005037600,"Census Tract 376, Bronx County, New York",286,1457,377
1400000US36005037800,"Census Tract 378, Bronx County, New York",688,1949,278
1400000US36005037900,"Census Tract 379, Bronx County, New York",1358,3074,380
1400000US36005038000,"Census Tract 380, Bronx County, New York",1200,3020,706
1400000US36005038100,"Census Tract 381, Bronx County, New York",1601,4717,747
1400000US36005038200,"Census Tract 382, Bronx County, New York",598,1726,479
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",921,3481,309
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",895,2165,423
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",660,1449,117
1400000US36005038500,"Census Tract 385, Bronx County, New York",1165,2453,295
1400000US36005038600,"Census Tract 386, Bronx County, New York",1799,5171,1677
1400000US36005038700,"Census Tract 387, Bronx County, New York",605,2562,178
1400000US36005038800,"Census Tract 388, Bronx County, New York",590,1619,463
1400000US36005038900,"Census Tract 389, Bronx County, New York",796,3863,269
1400000US36005039000,"Census Tract 390, Bronx County, New York",466,2088,195
1400000US36005039100,"Census Tract 391, Bronx County, New York",1280,4942,846
1400000US36005039200,"Census Tract 392, Bronx County, New York",275,1128,121
1400000US36005039300,"Census Tract 393, Bronx County, New York",2129,4648,794
1400000US36005039400,"Census Tract 394, Bronx County, New York",592,3441,426
1400000US36005039500,"Census Tract 395, Bronx County, New York",850,2625,366
1400000US36005039600,"Census Tract 396, Bronx County, New York",985,2605,631
1400000US36005039700,"Census Tract 397, Bronx County, New York",67,3166,307
1400000US36005039800,"Census Tract 398, Bronx County, New York",713,2638,414
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",1190,3413,562
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",949,3698,283
1400000US36005040100,"Census Tract 401, Bronx County, New York",813,3020,372
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",1064,2918,565
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",820,2671,495
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",685,1955,196
1400000US36005040400,"Census Tract 404, Bronx County, New York",632,2180,508
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",695,2517,491
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",1657,4401,718
1400000US36005040600,"Census Tract 406, Bronx County, New York",584,2191,596
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",446,2119,316
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",886,4176,928
1400000US36005040800,"Census Tract 408, Bronx County, New York",691,3374,363
1400000US36005040900,"Census Tract 409, Bronx County, New York",697,1949,569
1400000US36005041100,"Census Tract 411, Bronx County, New York",518,2269,447
1400000US36005041300,"Census Tract 413, Bronx County, New York",1541,6150,504
1400000US36005041400,"Census Tract 414, Bronx County, New York",645,3463,865
1400000US36005041500,"Census Tract 415, Bronx County, New York",1012,3924,712
1400000US36005041800,"Census Tract 418, Bronx County, New York",696,2426,363
1400000US36005041900,"Census Tract 419, Bronx County, New York",799,4471,396
1400000US36005042000,"Census Tract 420, Bronx County, New York",510,2822,505
1400000US36005042100,"Census Tract 421, Bronx County, New York",962,3479,439
1400000US36005042200,"Census Tract 422, Bronx County, New York",376,1842,484
1400000US36005042300,"Census Tract 423, Bronx County, New York",854,2511,396
1400000US36005042400,"Census Tract 424, Bronx County, New York",546,1480,224
1400000US36005042500,"Census Tract 425, Bronx County, New York",1371,4273,379
1400000US36005042600,"Census Tract 426, Bronx County, New York",791,4757,1367
1400000US36005042800,"Census Tract 428, Bronx County, New York",272,875,701
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",488,2152,284
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",668,2519,273
1400000US36005043000,"Census Tract 430, Bronx County, New York",720,2117,497
1400000US36005043101,"Census Tract 431.01, Bronx County, New York",969,3603,734
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",902,2698,368
1400000US36005043400,"Census Tract 434, Bronx County, New York",451,2652,542
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",271,372,66
1400000US36005043502,"Census Tract 435.02, Bronx County, New York",0,0,0
