system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
18K066,K066,P.S. 66,DOE,General Academic,K-8,Open,845 EAST  96 STREET,-73.907064,40.648749
13K067,K067,P.S. 067 Charles A. Dorsey,DOE,General Academic,Elementary,Open,51 SAINT EDWARDS STREET,-73.977674,40.695339
18K068,K068,I.S. 068 Isaac Bildersee,DOE,General Academic,Junior High-Intermediate-Middle,Open,956 EAST  82 STREET,-73.911215,40.635388
20K069,K069,P.S. 69 Vincent D. Grippo School,DOE,General Academic,Elementary,Open,6302 9TH AVENUE,-74.009752,40.632392
20K069,K069,P.S. 69 Vincent D. Grippo School,DOE,General Academic,Elementary,Open,6302 9TH AVENUE,-74.009752,40.632392
14K071,K071,Juan Morel Campos Secondary School,DOE,General Academic,Secondary School,Open,215 HEYWARD STREET,-73.953304,40.703996
19K072,K072,P.S./I.S. 072 Annette P Goldman,DOE,General Academic,K-8,Closed,605 SHEPHERD AVENUE,-73.879131,40.669358
23K073,K073,P.S. 073 Thomas S. Boyland,DOE,General Academic,K-8,Closed,251 MCDOUGAL STREET,-73.910719,40.680679
32K075,K075,P.S. 075 Mayda Cortiella,DOE,General Academic,Elementary,Open,95 GROVE STREET,-73.921336,40.693261
75K077,K077,P.S. K077,DOE,Special Education,K-12 all grades,Open,62 PARK PLACE,-73.976648,40.678809
22K078,K078,J.H.S. 078 Roy H. Mann,DOE,General Academic,Junior High-Intermediate-Middle,Open,1420 EAST  68 STREET,-73.912914,40.620537
16K081,K081,P.S. 081 Thaddeus Stevens,DOE,General Academic,Elementary,Open,990 DEKALB AVENUE,-73.935123,40.692866
14K084,K084,P.S. 084 Jose De Diego,DOE,General Academic,K-8,Open,250 BERRY STREET,-73.963808,40.715089
32K086,K086,P.S. 086 The Irvington,DOE,General Academic,Elementary,Open,220 IRVING AVENUE,-73.917804,40.700595
15K088,K088,J.H.S. 088 Peter Rouget,DOE,General Academic,Junior High-Intermediate-Middle,Open,544 7TH AVENUE,-73.988743,40.660805
19K089,K089,P.S. 089 Cypress Hills,DOE,General Academic,K-8,Open,265 WARWICK STREET,-73.886712,40.677707
21K090,K090,P.S. 90 Edna Cohen School,DOE,General Academic,Elementary,Open,2840 WEST  12 STREET,-73.980387,40.578192
17K091,K091,P.S. 091 The Albany Avenue School,DOE,General Academic,Elementary,Open,532 ALBANY AVENUE,-73.940707,40.661806
17K092,K092,P.S. 092 Adrian Hegeman,DOE,General Academic,Elementary,Open,601 PARKSIDE AVENUE,-73.95381,40.656276
